task,split,hf_subset,GritLM/GritLM-7B(13f00a0e36500c80ce12870ea513846a066004af),intfloat/multilingual-e5-base(d13f1b27baf31030b7fd040960d60d909913633f),intfloat/multilingual-e5-large(4dc6d853a804b9c8886ede6dda8a073b7dc08a81),intfloat/multilingual-e5-large-instruct(baa7be480a7de1539afce709c8f13f833a510e0a),intfloat/multilingual-e5-small(e4ce9877abf3edfe10b0d82785e83bdcb973e22e),sentence-transformers/LaBSE(e34fab64a3011d2176c99545a93d5cbddc9a91b7),sentence-transformers/all-MiniLM-L12-v2(no_revision_available),sentence-transformers/all-MiniLM-L6-v2(8b3219a92973c328a8e22fadcfa821b5dc75636a),sentence-transformers/all-mpnet-base-v2(84f2bcc00d77236f9e89c8a360a00fb1139bf47d),sentence-transformers/all-mpnet-base-v2(no_revision_available),sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2(bf3bf13ab40c3157080a7ab344c831b9ad18b5eb),sentence-transformers/paraphrase-multilingual-mpnet-base-v2(79f2382ceacceacdf38563d7c5d16b9ff8d725d6)
ArEntail,test,default,79.0,80.7,85.7,92.0,78.4,72.7,60.2,,59.5,,73.7,85.0
ArmenianParaphrasePC,test,default,93.0,93.7,94.9,96.1,93.6,95.6,88.6,,87.5,,93.5,95.4
Assin2RTE,test,default,86.1,77.9,84.8,86.9,79.0,71.4,61.4,61.0,,60.8,81.8,84.2
CDSC-E,test,default,72.7,72.7,74.5,76.3,69.9,68.9,49.0,47.3,45.4,,72.3,75.8
CTKFactsNLI,test,default,86.0,82.3,83.8,86.2,82.4,77.0,,,73.2,,83.5,86.8
CTKFactsNLI,validation,default,76.8,74.2,78.1,78.9,71.5,72.6,,,72.8,,75.5,79.3
FalseFriendsGermanEnglish,test,default,54.8,51.6,53.5,52.7,49.5,51.3,48.0,,47.5,,49.5,51.6
FarsTail,test,default,,71.5,,,70.0,,,,54.5,,,66.3
KLUE-NLI,validation,default,63.5,63.5,65.9,71.0,61.1,59.7,53.8,,,52.3,65.5,71.6
LegalBenchPC,test,default,61.6,69.0,69.4,70.8,67.6,62.3,67.4,,68.2,,68.8,68.4
OpusparcusPC,test.full,de,96.6,95.8,97.3,97.6,94.9,96.6,91.2,,,89.8,96.6,97.3
OpusparcusPC,test.full,en,98.6,98.7,98.7,99.0,98.4,98.1,97.4,,,97.8,98.6,98.6
OpusparcusPC,test.full,fi,90.4,90.3,94.3,94.7,88.3,94.4,86.0,,,85.8,93.2,95.3
