task,split,hf_subset,GritLM/GritLM-7B(13f00a0e36500c80ce12870ea513846a066004af),intfloat/multilingual-e5-base(d13f1b27baf31030b7fd040960d60d909913633f),intfloat/multilingual-e5-large(4dc6d853a804b9c8886ede6dda8a073b7dc08a81),intfloat/multilingual-e5-large-instruct(baa7be480a7de1539afce709c8f13f833a510e0a),intfloat/multilingual-e5-small(e4ce9877abf3edfe10b0d82785e83bdcb973e22e),sentence-transformers/LaBSE(e34fab64a3011d2176c99545a93d5cbddc9a91b7),sentence-transformers/all-MiniLM-L12-v2(a05860a77cef7b37e0048a7864658139bc18a854),sentence-transformers/all-MiniLM-L12-v2(no_revision_available),sentence-transformers/all-MiniLM-L6-v2(8b3219a92973c328a8e22fadcfa821b5dc75636a),sentence-transformers/all-mpnet-base-v2(84f2bcc00d77236f9e89c8a360a00fb1139bf47d),sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2(bf3bf13ab40c3157080a7ab344c831b9ad18b5eb),sentence-transformers/paraphrase-multilingual-mpnet-base-v2(79f2382ceacceacdf38563d7c5d16b9ff8d725d6)
BUCC.v2,test,de-en,99.5,99.3,99.5,99.6,98.7,99.4,18.9,,13.9,17.0,98.0,98.9
BUCC.v2,test,fr-en,98.8,98.1,98.6,99.2,94.0,98.9,38.1,,26.6,35.7,96.4,97.7
BUCC.v2,test,ru-en,97.4,97.1,97.3,97.6,94.4,97.5,0.6,,0.3,0.3,95.6,96.6
BUCC.v2,test,zh-en,99.1,98.8,99.2,99.3,94.0,99.2,2.7,,1.8,1.8,97.6,98.5
BibleNLPBitextMining,train,aai_Latn-eng_Latn,,,,,,,4.9,,5.0,4.0,3.8,2.3
BibleNLPBitextMining,train,aak_Arab-eng_Latn,,,,,,,0.0,,0.1,0.0,0.2,0.4
BibleNLPBitextMining,train,aau_Latn-eng_Latn,,,,,,,0.4,,1.0,1.3,0.9,2.1
BibleNLPBitextMining,train,aaz_Latn-eng_Latn,,,,,,,1.1,,0.7,0.1,1.5,2.3
BibleNLPBitextMining,train,abt_Latn-eng_Latn,,,,,,,1.3,,0.2,1.6,0.4,1.4
BibleNLPBitextMining,train,abx_Latn-eng_Latn,,,,,,,0.8,,0.4,0.2,2.0,3.9
BibleNLPBitextMining,train,aby_Latn-eng_Latn,,,,,,,1.0,,0.3,0.0,0.4,0.0
BibleNLPBitextMining,train,acf_Latn-eng_Latn,,,,,,,0.2,,0.4,0.0,1.0,1.4
BibleNLPBitextMining,train,acr_Latn-eng_Latn,,,,,,,1.7,,0.4,0.8,2.1,2.2
BibleNLPBitextMining,train,acu_Latn-eng_Latn,,,,,,,0.5,,0.8,0.8,1.5,0.7
BibleNLPBitextMining,train,adz_Latn-eng_Latn,,,,,,,3.8,,1.9,1.8,3.7,3.5
BibleNLPBitextMining,train,aer_Latn-eng_Latn,,,,,,,3.2,,2.0,3.3,2.5,1.6
BibleNLPBitextMining,train,aey_Latn-eng_Latn,,,,,,,1.4,,0.6,0.1,0.7,1.5
BibleNLPBitextMining,train,agd_Latn-eng_Latn,,,,,,,0.0,,0.1,0.4,0.3,0.5
BibleNLPBitextMining,train,agg_Latn-eng_Latn,,,,,,,0.3,,0.0,1.4,0.6,0.8
BibleNLPBitextMining,train,agm_Latn-eng_Latn,,,,,,,0.5,,0.0,0.4,0.5,0.3
BibleNLPBitextMining,train,agn_Latn-eng_Latn,,,,,,,0.0,,0.2,0.7,2.8,2.2
BibleNLPBitextMining,train,agr_Latn-eng_Latn,,,,,,,0.4,,0.4,0.0,1.9,0.9
BibleNLPBitextMining,train,agt_Latn-eng_Latn,,,,,,,0.7,,0.4,0.6,1.8,2.3
BibleNLPBitextMining,train,agu_Latn-eng_Latn,,,,,,,0.7,,0.2,0.5,1.2,1.5
BibleNLPBitextMining,train,aia_Latn-eng_Latn,,,,,,,0.2,,0.0,0.2,0.2,0.0
BibleNLPBitextMining,train,aii_Syrc-eng_Latn,,,,,,,0.0,,0.3,0.0,0.0,0.0
BibleNLPBitextMining,train,aka_Latn-eng_Latn,,,,,,,0.4,,1.0,0.2,1.0,2.9
BibleNLPBitextMining,train,ake_Latn-eng_Latn,,,,,,,0.5,,0.0,0.2,0.0,0.2
BibleNLPBitextMining,train,alp_Latn-eng_Latn,,,,,,,0.4,,0.4,0.6,3.3,2.4
BibleNLPBitextMining,train,alq_Latn-eng_Latn,,,,,,,2.0,,2.9,1.8,0.9,1.6
BibleNLPBitextMining,train,als_Latn-eng_Latn,,,,,,,0.5,,0.0,0.4,18.6,17.7
BibleNLPBitextMining,train,aly_Latn-eng_Latn,,,,,,,2.0,,1.1,2.8,0.5,1.5
BibleNLPBitextMining,train,ame_Latn-eng_Latn,,,,,,,1.2,,0.1,0.7,0.0,1.0
BibleNLPBitextMining,train,amf_Latn-eng_Latn,,,,,,,0.3,,0.0,0.3,0.8,0.0
BibleNLPBitextMining,train,amk_Latn-eng_Latn,,,,,,,0.3,,0.0,0.4,2.4,2.1
BibleNLPBitextMining,train,amm_Latn-eng_Latn,,,,,,,0.1,,0.1,0.0,0.0,0.7
