Status,Model Name,File Path,Old Frameworks,New Frameworks
UPDATED,AITeamVN/Vietnamese_Embedding,/Users/ayushmunot/Desktop/OpenSource/mteb/mteb/models/model_implementations/vi_vn_models.py,"Sentence Transformers, PyTorch","Sentence Transformers, PyTorch, ONNX, safetensors"
UPDATED,Alibaba-NLP/gme-Qwen2-VL-2B-Instruct,/Users/ayushmunot/Desktop/OpenSource/mteb/mteb/models/model_implementations/gme_v_models.py,PyTorch,"PyTorch, Sentence Transformers, safetensors, Transformers"
UPDATED,Alibaba-NLP/gme-Qwen2-VL-7B-Instruct,/Users/ayushmunot/Desktop/OpenSource/mteb/mteb/models/model_implementations/gme_v_models.py,PyTorch,"PyTorch, Sentence Transformers, safetensors, Transformers"
UPDATED,Alibaba-NLP/gte-Qwen1.5-7B-instruct,/Users/ayushmunot/Desktop/OpenSource/mteb/mteb/models/model_implementations/gte_models.py,"Sentence Transformers, PyTorch","Sentence Transformers, PyTorch, safetensors, Transformers"
UPDATED,Alibaba-NLP/gte-Qwen2-1.5B-instruct,/Users/ayushmunot/Desktop/OpenSource/mteb/mteb/models/model_implementations/gte_models.py,"Sentence Transformers, PyTorch","Sentence Transformers, PyTorch, safetensors, Transformers"
UPDATED,Alibaba-NLP/gte-Qwen2-7B-instruct,/Users/ayushmunot/Desktop/OpenSource/mteb/mteb/models/model_implementations/gte_models.py,"Sentence Transformers, PyTorch","Sentence Transformers, PyTorch, safetensors, Transformers"
UPDATED,Alibaba-NLP/gte-base-en-v1.5,/Users/ayushmunot/Desktop/OpenSource/mteb/mteb/models/model_implementations/gte_models.py,"Sentence Transformers, PyTorch","Sentence Transformers, PyTorch, Transformers, ONNX, safetensors"
UPDATED,Alibaba-NLP/gte-modernbert-base,/Users/ayushmunot/Desktop/OpenSource/mteb/mteb/models/model_implementations/gte_models.py,"Sentence Transformers, PyTorch","Sentence Transformers, PyTorch, Transformers, ONNX, safetensors"
UPDATED,Alibaba-NLP/gte-multilingual-base,/Users/ayushmunot/Desktop/OpenSource/mteb/mteb/models/model_implementations/gte_models.py,"Sentence Transformers, PyTorch","Sentence Transformers, PyTorch, safetensors, Transformers"
UPDATED,ApsaraStackMaaS/EvoQwen2.5-VL-Retriever-3B-v1,/Users/ayushmunot/Desktop/OpenSource/mteb/mteb/models/model_implementations/colqwen_models.py,ColPali,"ColPali, safetensors"
