Model,Revision,AngryTweetsClassification,BelebeleRetrieval,BibleNLPBitextMining,BornholmBitextMining,DanFeverRetrieval,DanishPoliticalCommentsClassification,FloresBitextMining,LccSentimentClassification,MassiveIntentClassification,MassiveScenarioClassification,MultiEURLEXMultilabelClassification,NTREXBitextMining,NordicLangClassification,SIB200Classification,SIB200ClusteringS2S,ScalaClassification,TV2Nordretrieval,Tatoeba,TwitterHjerneRetrieval,WikiClusteringP2P.v2,WikipediaRerankingMultilingual,WikipediaRetrievalMultilingual
GritLM/GritLM-7B,13f00a0e36500c80ce12870ea513846a066004af,0.6534861509073544,0.7170350531914894,0.15703429559492083,0.6117333333333334,0.40485,0.412767138495698,0.6109930285907467,0.7013333333333334,0.637210728272479,0.679412424014663,0.0486295652173913,0.7807461712905885,0.6936333333333333,0.6462277296705484,0.36072519770658396,0.52105712890625,0.94913,0.720780243112421,0.43266,0.29879395630695693,0.9104981812169313,0.917721875
cointegrated/LaBSE-en-ru,cf0714e606d4af551e14ad69a7929cd6b0da7f7e,,,,,,,,,0.21195788335509053,0.2660574653533236,,,,,,,,,,,,
intfloat/e5-mistral-7b-instruct,07163b72af1488142a360786df853f237b1a3ca1,0.6501432664756447,0.6828947074468086,0.15871068617513198,0.5724333333333332,0.40757,0.3467804607271718,0.6171733102240896,0.6453333333333333,0.5989055474240805,0.6653117871223808,0.05160695652173912,0.7882254775515363,0.6913333333333332,0.6611053050661889,0.3874355629191053,0.51070556640625,0.92306,0.7008043679895426,0.33405,0.3104184294760456,0.9025595072751322,0.909265
intfloat/multilingual-e5-base,d13f1b27baf31030b7fd040960d60d909913633f,0.5628462273161414,0.7072227925531915,0.1399684043394193,0.3321808524808525,0.40416,0.3641271162919789,0.7455973945233266,0.6013333333333333,0.5414111845141554,0.6035905956195524,0.03973565217391305,0.8490554151366932,0.7585333333333334,0.5634144520752464,0.2162327526114601,0.5091918945312499,0.92682,0.6805819069367823,0.42163,0.2502530930365376,0.8773647652116402,0.88750875
intfloat/multilingual-e5-large,4dc6d853a804b9c8886ede6dda8a073b7dc08a81,0.5768863419293219,0.779088909574468,0.14924871411150414,0.2987461610285139,0.40868,0.39433805162364693,0.7725258124215204,0.6153333333333333,0.5833570684494377,0.6418258897371995,0.046313913043478254,0.8677655506852232,0.8015333333333334,0.6008161640290633,0.23660154176636475,0.5157470703125,0.95369,0.757284993760995,0.35219,0.2560124213863618,0.8969711805555556,0.90820875
intfloat/multilingual-e5-large-instruct,baa7be480a7de1539afce709c8f13f833a510e0a,0.5953199617956064,0.8091880585106382,0.22027836813106355,0.5541666666666667,0.40644,0.33068276436303085,0.8596172923065778,0.6026666666666667,0.6265286074079935,0.6826463335838707,0.05502608695652174,0.9367549966537495,0.7657,0.7345998805613615,0.4719148058157196,0.50364990234375,0.94149,0.837297358436565,0.36855,0.3145080121100277,0.910291121031746,0.9159349999999999
intfloat/multilingual-e5-small,e4ce9877abf3edfe10b0d82785e83bdcb973e22e,0.5626552053486151,0.6629290691489361,0.12413115135937501,0.37145728715728715,0.39601,0.34816819317235637,0.697451048947165,0.586,0.5192867597610665,0.5863134090219813,0.04247478260869565,0.8182892712214577,0.7215,0.5752538071065989,0.23904115029304265,0.5067626953125,0.90379,0.6389922667439586,0.29358,0.24993983463149455,0.8701014880952381,0.8772306249999999
sentence-transformers/LaBSE,e34fab64a3011d2176c99545a93d5cbddc9a91b7,0.5110792741165234,0.6073163829787235,0.1879184613804074,0.45625569985569986,0.34537,0.38340271995559255,0.7211323597266492,0.5006666666666668,0.5753800915120588,0.6318472513416933,0.035539999999999995,0.9069040801163176,0.35386666666666666,0.5006071464118642,0.18786704860428421,0.5055908203125,0.76295,0.8114049549210332,0.1438,0.2529623663247956,0.8093706183862435,0.6630637500000001
sentence-transformers/all-MiniLM-L12-v2,a05860a77cef7b37e0048a7864658139bc18a854,0.42865329512893985,0.2322255585106383,0.013890041607249206,0.35249206349206347,0.30588,0.27067721343325,0.10709222464503043,0.41933333333333334,0.29115866925115713,0.35529754605271824,0.01717826086956522,0.15164075362257146,0.5417000000000001,0.30232407683885737,0.07620252834205854,0.50126953125,0.50731,0.05096799427227309,0.06623,0.22897329616499343,0.6922158234126984,0.45766562499999996
sentence-transformers/all-MiniLM-L6-v2,8b3219a92973c328a8e22fadcfa821b5dc75636a,0.4248328557784145,0.20799683510638295,0.011138576083412973,0.2968132161955691,0.28514,0.26699972245351095,0.08523166582150102,0.38533333333333325,0.27853026886612076,0.3403042050714031,0.022488695652173908,0.12752171988262676,0.5469666666666667,0.28910371255101025,0.06617230524659697,0.50294189453125,0.3411,0.0387681767142979,0.09811,0.23028238845653945,0.6453740906084655,0.38806687500000003
